cluster_id,topic,cluster_status,cluster_source_refs,cluster_updated_at,report_id,report_status,report_updated_at
kcl-67e308af39fbdba4,"Princeton Nlp: release and launch activity",candidate,5,2026-06-29T12:03:39.736710+00:00,krpt-52d2943df3101b39,draft,2026-06-29T12:03:39.742865+00:00
kcl-87f024c68e5cfacb,"Predibase: release and launch activity",candidate,5,2026-06-29T12:03:39.244072+00:00,krpt-40321f77a6e37d37,draft,2026-06-29T12:03:39.249961+00:00
kcl-8acaf47d3afd5b1f,"Tensorzero: release and launch activity",candidate,6,2026-06-29T12:03:38.763634+00:00,krpt-e6570edd21e8b61e,draft,2026-06-29T12:46:32.058807+00:00
kcl-8acaf47d3afd5b1f,"Tensorzero: release and launch activity",candidate,6,2026-06-29T12:03:38.763634+00:00,krpt-b9146215f410d5c2,draft,2026-06-29T12:03:38.772438+00:00
kcl-e8611344bca77892,"Sgl Project: release and launch activity",candidate,6,2026-06-29T12:03:38.171606+00:00,krpt-e34487d82b97d215,draft,2026-06-29T12:03:38.180985+00:00
kcl-c03e5ac02f11aa8a,"Rasbt: release and launch activity",candidate,6,2026-06-29T12:03:37.550273+00:00,krpt-0dd46380214f59e3,draft,2026-06-29T12:48:40.980653+00:00
kcl-c03e5ac02f11aa8a,"Rasbt: release and launch activity",candidate,6,2026-06-29T12:03:37.550273+00:00,krpt-708d105669febb2d,draft,2026-06-29T12:03:37.559453+00:00
kcl-e0dfd78b4c0f91b6,"Philschmid: release and launch activity",candidate,6,2026-06-29T12:03:36.952359+00:00,krpt-f464447450c19282,draft,2026-06-29T12:03:36.961266+00:00
kcl-c0e7412b541533dd,"Teknium1: release and launch activity",candidate,7,2026-06-29T12:03:36.359019+00:00,krpt-7933f2611b35d6f7,draft,2026-06-29T12:48:41.031355+00:00
kcl-c0e7412b541533dd,"Teknium1: release and launch activity",candidate,7,2026-06-29T12:03:36.359019+00:00,krpt-169dc7741c58a7c1,draft,2026-06-29T12:03:36.371291+00:00
kcl-53677ea3586a57ad,"Stanford Crfm: release and launch activity",candidate,7,2026-06-29T12:03:35.630277+00:00,krpt-10213f7f9c96618d,draft,2026-06-29T12:03:35.646828+00:00
kcl-7c03a440072ea0dd,"Smallcloudai: release and launch activity",candidate,7,2026-06-29T12:03:34.946131+00:00,krpt-3231f3d3826fa658,draft,2026-06-29T12:45:26.091202+00:00
kcl-7c03a440072ea0dd,"Smallcloudai: release and launch activity",candidate,7,2026-06-29T12:03:34.946131+00:00,krpt-9755116ff5bb2e58,draft,2026-06-29T12:03:34.959293+00:00
kcl-177ce915c96bcef2,"Qdrant: release and launch activity",candidate,7,2026-06-29T12:03:34.251766+00:00,krpt-1bff692476bd4c65,draft,2026-06-29T12:03:34.263574+00:00
kcl-fa43f6145f9c9be7,"Pydantic: release and launch activity",candidate,7,2026-06-29T12:03:33.608700+00:00,krpt-7918a4815d880533,draft,2026-06-29T12:03:33.623262+00:00
kcl-e7f29d6302174e83,"Pinecone Io: release and launch activity",candidate,7,2026-06-29T12:03:32.949014+00:00,krpt-9ebe1eebab7b6742,draft,2026-06-29T12:03:32.962058+00:00
kcl-cff46b35aba54e4a,"Togethercomputer: release and launch activity",candidate,9,2026-06-29T12:03:32.237897+00:00,krpt-c6d6ae8461f51d0b,draft,2026-06-29T12:49:42.428683+00:00
kcl-cff46b35aba54e4a,"Togethercomputer: release and launch activity",candidate,9,2026-06-29T12:03:32.237897+00:00,krpt-068c383f333f1864,draft,2026-06-29T12:03:32.259714+00:00
kcl-909474e6a0cd7e09,"Tailscale: release and launch activity",candidate,9,2026-06-29T12:03:31.325291+00:00,krpt-c2f37d17844fdf8c,draft,2026-06-29T12:03:31.356987+00:00
kcl-9a1d91717def42e9,"Swyxio: release and launch activity",candidate,9,2026-06-29T12:03:30.483308+00:00,krpt-550bb017c4cce85e,draft,2026-06-29T12:48:40.741076+00:00
kcl-9a1d91717def42e9,"Swyxio: release and launch activity",candidate,9,2026-06-29T12:03:30.483308+00:00,krpt-246b4cea19c6692d,draft,2026-06-29T12:03:30.511918+00:00
kcl-4a1bf6bdc4bb4508,"Sweepai: release and launch activity",candidate,9,2026-06-29T12:03:29.625091+00:00,krpt-b8eac132912d7ed3,draft,2026-06-29T12:45:25.935977+00:00
kcl-4a1bf6bdc4bb4508,"Sweepai: release and launch activity",candidate,9,2026-06-29T12:03:29.625091+00:00,krpt-2791746d31b6abc7,draft,2026-06-29T12:03:29.650451+00:00
kcl-d9c64101e90ebdea,"Supabase: release and launch activity",candidate,9,2026-06-29T12:03:28.826138+00:00,krpt-10994461c5a8c0d3,draft,2026-06-29T12:03:28.844747+00:00
kcl-dc10453a7d202460,"Stanfordnlp: release and launch activity",candidate,9,2026-06-29T12:03:28.026342+00:00,krpt-c27fc451a22644a2,draft,2026-06-29T12:50:48.174910+00:00
kcl-dc10453a7d202460,"Stanfordnlp: release and launch activity",candidate,9,2026-06-29T12:03:28.026342+00:00,krpt-00ea91fbaad0bf66,draft,2026-06-29T12:03:28.044373+00:00
kcl-295c1ca4d86beb8f,"Smol Ai: release and launch activity",candidate,9,2026-06-29T12:03:27.250305+00:00,krpt-a69ead64b533ac8b,draft,2026-06-29T12:03:27.268810+00:00
kcl-967179233446269a,"Simonw: release and launch activity",candidate,9,2026-06-29T12:03:26.465894+00:00,krpt-2cfe419c5060c498,draft,2026-06-29T12:03:26.483944+00:00
kcl-945581a50e802aec,"Replit: release and launch activity",candidate,9,2026-06-29T12:03:25.689990+00:00,krpt-2be071b356f46609,draft,2026-06-29T12:03:25.708498+00:00
kcl-fbd5b6d1d99aabd4,"Replicate: release and launch activity",candidate,9,2026-06-29T12:03:24.885830+00:00,krpt-98a18f8c12fb5841,draft,2026-06-29T12:03:24.904782+00:00
kcl-67d51d66cdd75769,"Sourcegraph: release and launch activity",candidate,10,2026-06-29T12:03:24.108721+00:00,krpt-b80bc60b6ea67314,draft,2026-06-29T12:45:26.032669+00:00
kcl-67d51d66cdd75769,"Sourcegraph: release and launch activity",candidate,10,2026-06-29T12:03:24.108721+00:00,krpt-3cc888b62e32174f,draft,2026-06-29T12:03:24.138659+00:00
